vielie	ohtsedidh
ohtsedidh	,
,	ihke
ihke	daate
daate	lea
lea	dïhte
dïhte	mij
mij	eensi
eensi	daaroen
daaroen	lea
lea	.
.	”
”	Maanah
Maanah	jeehtin
jeehtin	.
.	Goh
Goh	edtji
edtji	jïjtje
jïjtje	gïerestalledh
gïerestalledh	,
,	maanasåjhtere
maanasåjhtere	satnem
satnem	bïksi
bïksi	,
,	jeehti
jeehti	,
,	jis
jis	dam
dam	darjoeji
darjoeji	,
,	dle
dle	tråvnan
tråvnan	nelnie
nelnie	sjïdti
sjïdti	barre
barre	iktesth
iktesth	tjahkasjidh
tjahkasjidh	,
,	ihke
ihke	kråvna
kråvna	hov
hov	slahtjegi
slahtjegi	.
.	Åvletjem
Åvletjem	jïjtse
jïjtse	juelkiej
juelkiej	gaskese
gaskese	bïeji
bïeji	,
,	bealjan
bealjan	sïmmi
sïmmi	,
,	daelie
daelie	edtjigan
edtjigan	maam
maam	lustem
lustem	darjodh
darjodh	,
,	mij
mij	idtji
idtji	kråvnam
kråvnam	slahtjehth
slahtjehth	.
.	Dah
Dah	ligan
ligan	aarebi
aarebi	slåahten
slåahten	savkine
savkine	treavkajgujmie
treavkajgujmie	saavreme
saavreme	;
;	dennie
dennie	ledtientjïehtjelisnie
ledtientjïehtjelisnie	lïereme
lïereme	guktie
guktie	slahkode
slahkode	tjoejkedh
tjoejkedh	,
,	jïh
jïh	dennie
dennie	daanhtsomesavkesne
daanhtsomesavkesne	lïereme
lïereme	guktie
guktie	gïerestidh
gïerestidh	.
.	Faahketji
Faahketji	gïerestigan
gïerestigan	,
,	jïh
jïh	Åvletje
Åvletje	aavosne
aavosne	snjæjradi
snjæjradi	.
.	Eah
Eah	gïeh
gïeh	gænnah
gænnah	prïnsem
prïnsem	aarebi
aarebi	daajkoe
daajkoe	bïjre
bïjre	vuajneme
vuajneme	,
,	gie
gie	dan
dan	varki
varki	jïh
jïh	tjaebpieslaakan
tjaebpieslaakan	tjoejkeme
tjoejkeme	.
.	Kråvna
Kråvna	gujht
gujht	maaje
maaje	raagkesjeminie
raagkesjeminie	goh
goh	våålese
våålese	böötigan
böötigan	,
,	badth
